"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000145632",3262.15452178144,1.54674961547203,0.0460243819592261,33.6071784047492,1.3176941118968e-247,3.73464919637213e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361784327075,0.0564684070240172,-33.5341112503023,1.53477286002714e-246,4.2678268700151e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.7035465919333,0.0509601087578484,-33.4290219047253,5.19390786190763e-245,1.41755211238509e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.4640159114495,0.0439329001158196,-33.3239077682087,1.73984876300191e-243,4.66216201256766e-241,"ANXA1","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.52988619989441,0.0760092139505324,-33.283941096153,6.5932284006206e-243,1.73519643157761e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.81056662201436,0.0547035645119119,33.0977814365297,3.19851269760574e-240,8.27011932233568e-238,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72415483189412,0.0522701778398931,32.9854403246019,1.31369113057268e-238,3.33813446247935e-236,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095249165046,0.0567964579545427,-32.9413586521167,5.62520534767135e-238,1.4051572273556e-235,"ACTG2","72","actin, gamma 2, smooth muscle, enteric"
"ENSG00000152894",4900.8667898464,1.68614754696904,0.0515037594735046,32.7383391854424,4.44954348190602e-235,1.09295619727218e-232,"PTPRK","5796","protein tyrosine phosphatase, receptor type K"
"ENSG00000143341",2279.33849385387,2.05720946158248,0.0629925114453734,32.6580003619394,6.16939827403869e-234,1.4905670780784e-231,"HMCN1","83872","hemicentin 1"
"ENSG00000115461",200904.539632615,1.27117471085653,0.0389873664648053,32.6047852450881,3.50828510307724e-233,8.33953320147619e-231,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.20986030083,3.29744633697211,0.101231296318792,32.5733884369905,9.76966579470176e-233,2.28548149971928e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9451572206,1.38865862865083,0.0428974821222016,32.3715649486133,6.89943142083048e-230,1.58880969187812e-227,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.33707455466229,0.0417126480700927,-32.0544155435902,1.90535970665381e-225,4.32018328564058e-223,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.47707273372,2.41256199115946,0.0759164041352511,31.7791921079571,1.25506730590865e-221,2.80260332643661e-219,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.42461130954274,0.0449230268066079,-31.7122734333029,1.0524178880794e-220,2.31500519918121e-218,"CALM3","808","calmodulin 3"
"ENSG00000148175",3890.72249473237,1.38275935255239,0.0437425179473112,31.611334176463,2.57952646028091e-219,5.59074426053236e-217,"STOM","2040","stomatin"
"ENSG00000171951",793.124579134864,2.98016310498545,0.0943819972704449,31.5755460911259,7.99970833042482e-219,1.70869132425799e-216,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.32640777580259,0.137032426265834,31.5721460511079,8.90724412995486e-219,1.87535662838964e-216,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.78842553364,1.48922391534197,0.0474102568555221,31.4114289631508,1.41265544471289e-216,2.93235435833502e-214,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000134057",780.375869741297,-2.66975909690721,0.0850915116619643,-31.3751518190572,4.41710004919662e-216,9.04155840625831e-214,"CCNB1","891","cyclin B1"
"ENSG00000135074",13374.6004179129,1.14188898914372,0.0363987409629851,31.3716617370072,4.92877345773576e-216,9.95072098905612e-214,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.33084139992718,0.0432786266468016,-30.7505460094244,1.20240107708068e-207,2.39472798297502e-205,"FLNC","2318","filamin C"
"ENSG00000127920",2352.92723869813,2.10488854243809,0.0685910537341625,30.6875084700693,8.3546651748757e-207,1.64174740463091e-204,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000105088",793.128211520276,2.86562585502177,0.0934444338019115,30.666629765198,1.58631168017478e-206,3.07619230821262e-204,"OLFM2","93145","olfactomedin 2"
"ENSG00000092820",1475.49048809515,-1.91025660589575,0.0625712946278218,-30.52928051526,1.06537508792982e-204,2.03915559037789e-202,"EZR","7430","ezrin"
"ENSG00000183287",603.48721362449,-3.436109185756,0.112997107887571,-30.4088241725162,4.19913010084453e-203,7.93420249054444e-201,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564266983e-202,7.33899351160355e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000171246",11339.2021259297,1.74021926020602,0.057471954107085,30.2794517298568,2.13754238007562e-201,3.93788744969432e-199,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000076513",2351.57847713981,-1.94451433589439,0.0645262741259671,-30.1352334724665,1.6748117193247e-199,3.04733026165523e-197,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000176014",5059.66070673934,-1.58287883735276,0.0526625745786294,-30.0569968334799,1.76884785988895e-198,3.17918045841992e-196,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000068489",527.868372422254,-3.28311258391777,0.109401846260637,-30.0096634210006,7.34104325618624e-198,1.30352163264666e-195,"PRR11","55771","proline rich 11"
"ENSG00000089159",2841.04018824034,-1.52007282825454,0.0507616642849809,-29.9452913860488,5.0670038710922e-197,8.89017893478058e-195,"PXN","5829","paxillin"
"ENSG00000112984",587.875352632019,-3.36365680001686,0.112773759026446,-29.8265911241647,1.7665199740896e-195,3.06293780919206e-193,"KIF20A","10112","kinesin family member 20A"
"ENSG00000003436",3855.53263789867,1.53740403929091,0.0515649231566324,29.814919623189,2.5029123241469e-195,4.28929323642755e-193,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000116729",14027.992136521,1.67569487585241,0.0564166010544782,29.7021593738746,7.20107911055372e-194,1.21908423490929e-191,"WLS","79971","wntless Wnt ligand secretion mediator"
"ENSG00000171617",3172.76514957676,1.7230403058603,0.0580113152201167,29.7017969567219,7.27910250183317e-194,1.21908423490929e-191,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000173546",2782.7113944163,-1.70836053260097,0.0575941295653189,-29.6620601004739,2.37079357308844e-193,3.92592760451432e-191,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000122641",8425.96553258608,1.39132775322116,0.0469878372112557,29.6103808090975,1.09851400228869e-192,1.79887770730342e-190,"INHBA","3624","inhibin subunit beta A"
"ENSG00000133818",917.65645300902,-2.58022994832454,0.0872303197088446,-29.5795080992111,2.74196632636699e-192,4.44078018879084e-190,"RRAS2","22800","RAS related 2"
"ENSG00000111615",1215.27891511062,1.9567704307585,0.0663760811211055,29.4800536233573,5.18784996123034e-191,8.31071007919703e-189,"KRR1","11103","KRR1, small subunit processome component homolog"
"ENSG00000064666",5624.42477846777,-1.64273183329818,0.0557716982088821,-29.4545779679443,1.09998439724485e-190,1.74317957490264e-188,"CNN2","1265","calponin 2"
"ENSG00000134250",3989.90689953644,-1.35592776101052,0.0460501458481012,-29.4445921079842,1.47655804381925e-190,2.31505451593703e-188,"NOTCH2","4853","notch 2"
"ENSG00000066279",593.333577786577,-3.10048884483019,0.105364403559753,-29.4263407761985,2.52835481400668e-190,3.92240981566636e-188,"ASPM","259266","abnormal spindle microtubule assembly"
"ENSG00000116991",845.465812777274,2.42014865392116,0.082449479737508,29.3531100696587,2.18081805472795e-189,3.34801005110214e-187,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.6956706154,1.74119412410088,0.0593370019851026,29.3441539991864,2.83730011018588e-189,4.31094113648654e-187,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.34458773227,1.92240040793008,0.0659490989517562,29.1497600192593,8.41273252801021e-187,1.26517195916137e-184,"HK2","3099","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.84664194734667,0.0635784337831494,29.0450996897016,1.77448669770787e-185,2.64165504553722e-183,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.52147667185,-1.50764330929452,0.0520551632799942,-28.9624162964434,1.95795248751526e-184,2.88563037609999e-182,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000065911",1563.07540926849,-1.94825249993054,0.0673374974448289,-28.9326537792228,4.63889644337384e-184,6.76911443390531e-182,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.22110366109,-1.40313136367342,0.0486375327334955,-28.8487364554806,5.25520470013576e-183,7.5932555755491e-181,"LMO7","4008","LIM domain 7"
"ENSG00000135318",10396.875971113,-1.18098787420491,0.0409964043182738,-28.8071086682715,1.74737916460036e-182,2.50027904154176e-180,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000171444",1285.81453923875,1.85633936536551,0.0644924712570367,28.783815059079,3.42011533503711e-182,4.84669805844009e-180,"MCC","4163","MCC, WNT signaling pathway regulator"
"ENSG00000145147",601.510428483162,-2.68630819028409,0.0934361677954615,-28.7501965637612,9.0064732134503e-182,1.26416573542696e-179,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000182481",2566.38058699848,-1.61375816427449,0.0561603398586691,-28.7348361554722,1.40128319749179e-181,1.94831243062585e-179,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000108829",3850.57518186778,-1.47517609593281,0.0513457658429164,-28.7302384474283,1.59943723056965e-181,2.20303793496593e-179,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000088448",1041.5088322989,2.36777272044306,0.0824391278294159,28.7214673758132,2.05836700243147e-181,2.80890860016991e-179,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000108932",593.620514665934,3.86329422850941,0.135042980302053,28.6078863178843,5.3604343274509e-180,7.2478973502726e-178,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000100345",41759.3349472728,-1.22519578050119,0.0428453768679215,-28.5957522156491,7.58767798341219e-180,1.01661089199572e-177,"MYH9","4627","myosin heavy chain 9"
"ENSG00000171848",822.67379311788,-2.5328064759672,0.0890287121791543,-28.4493217297178,4.96814084887808e-178,6.59643782259146e-176,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13753.9971136825,1.28379347829211,0.0451331145486944,28.4446019542262,5.68297280024801e-178,7.4781833151835e-176,"VCAN","1462","versican"
"ENSG00000141429",3588.58297366052,1.50607086816905,0.0530931788051748,28.3665604897301,5.2301668188753e-177,6.82143350235258e-175,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.35613415789,2.05089158351226,0.0724505356556453,28.3074730221467,2.79630988085802e-176,3.61508903720048e-174,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000091039",4444.70184434491,1.57257792716769,0.0556189553840334,28.2741363319299,7.18932920204465e-176,9.21359424171601e-174,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000147065",17820.4971549208,-1.0301253064275,0.0365228229247404,-28.20497497004,5.08117177262247e-175,6.45571634352672e-173,"MSN","4478","moesin"
"ENSG00000117399",548.054729960495,-3.23340373493714,0.114651721709677,-28.2019640588112,5.53209469845198e-175,6.96854800562268e-173,"CDC20","991","cell division cycle 20"
"ENSG00000135926",1251.33626199858,-1.85342990574707,0.0659124213806067,-28.1195845475706,5.64500035844022e-174,7.05050976971966e-172,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.13714423843,1.54852031437219,0.0552347199536806,28.0352704905676,6.04059391071356e-173,7.48119941647869e-171,"JUP","3728","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64964804939515,0.0590533744179009,-27.934865122544,1.00678481499812e-171,1.23649955028686e-169,"PTX3","5806","pentraxin 3"
"ENSG00000185112",747.773002441521,2.65534841445794,0.0952230065994073,27.8855762833524,3.99157446204641e-171,4.86180367120991e-169,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.35381530129993,0.0844340380045359,27.8775640361235,4.99214871292181e-171,6.03067932221652e-169,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000170759",4331.58598921615,-1.28570159441468,0.0461355798462072,-27.8678971566102,6.53815283354494e-171,7.83408914315328e-169,"KIF5B","3799","kinesin family member 5B"
"ENSG00000057657",689.791384929011,2.83420145486982,0.101922368702906,27.8074527793917,3.52495005105646e-170,4.18957369777985e-168,"PRDM1","639","PR/SET domain 1"
"ENSG00000109685",1268.17937848349,-1.8911024176115,0.0682347232550568,-27.7146638456008,4.64845066255014e-169,5.48070926917312e-167,"NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000172795",852.701537725169,2.13206737939772,0.0770835743691378,27.6591660006278,2.16519900477703e-168,2.53259547082571e-166,"DCP2","167227","decapping mRNA 2"
"ENSG00000184838",1048.67798618006,2.27794331497045,0.0824087394895223,27.642011382301,3.48151090059845e-168,4.0401974529937e-166,"PRR16","51334","proline rich 16"
"ENSG00000166510",570.336073336896,2.83088461025262,0.102927884463348,27.5035732543465,1.5911064318503e-166,1.83200989004763e-164,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000076706",1719.55770882045,-1.57938242129601,0.0575011783232823,-27.4669575015737,4.35860484893247e-166,4.97962157081913e-164,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000102225",1340.69055489962,-1.74229970819447,0.06349715454685,-27.4390202305671,9.39453901878528e-166,1.06505166199121e-163,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000197565",563.648360733133,3.41302170307903,0.124605048110961,27.3907177503733,3.53780645398683e-165,3.98016729151587e-163,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000161800",563.923688119321,-2.79230082382021,0.102045843626787,-27.3631999558209,7.52223197000821e-165,8.39868596772584e-163,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000113387",1168.42585268541,-2.03750868096321,0.0744625124097037,-27.3628785146617,7.58877530199176e-165,8.40927596998155e-163,"SUB1","10923","SUB1 homolog, transcriptional regulator"
"ENSG00000166851",502.683929770066,-3.32923741741875,0.121688979500919,-27.3585778356668,8.53774309057834e-165,9.39024310962266e-163,"PLK1","5347","polo like kinase 1"
"ENSG00000152223",2690.47150334747,-1.50606742291765,0.0550770508525846,-27.3447361397161,1.24733546087655e-164,1.3617207423999e-162,"EPG5","57724","ectopic P-granules autophagy protein 5 homolog"
"ENSG00000076641",954.690284174,2.03263249197315,0.0744909387905129,27.2869764427243,6.05493783128429e-164,6.56159365863735e-162,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117042,27.2855920323927,6.28835886268512e-164,6.76480532250024e-162,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000136378",1190.06353560081,2.1313694356951,0.0788327305720965,27.0366054838841,5.48949071169614e-161,5.86261696441868e-159,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000089685",509.548185635596,-3.097661031905,0.114589407045891,-27.0326997212269,6.10171879436231e-161,6.46957781232459e-159,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000111206",489.63700653501,-3.02314009593891,0.1119288253649,-27.0094864846759,1.14349478660182e-160,1.20377329749555e-158,"FOXM1","2305","forkhead box M1"
"ENSG00000174574",1409.88985133804,-1.74444146026819,0.0649482701026633,-26.8589364660639,6.63278235148967e-159,6.93290399264218e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000167553",3002.80270522025,-1.43654751200023,0.0535105857075576,-26.8460435071884,9.38123336957136e-159,9.7366631972354e-157,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000075426",1241.54577193998,-2.02417343922894,0.0754066735931191,-26.8434256913522,1.00651912777534e-158,1.03734817518552e-156,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000113319",1375.65463563177,1.72034861201094,0.0641522047598338,26.8166716709332,2.0653589880133e-158,2.11383755314861e-156,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000205542",10772.7240037773,-1.36860141667853,0.0510598841190697,-26.8038488588615,2.91410850476153e-158,2.96194007883969e-156,"TMSB4X","7114","thymosin beta 4 X-linked"
"ENSG00000147883",1092.60954361111,2.17982979420979,0.0813913269093563,26.7820894066196,5.22457868913402e-158,5.273961693182e-156,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000119326",1060.1999959954,-2.06902763036398,0.0775868059517111,-26.6672613337339,1.12888645634051e-156,1.13180466622765e-154,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000100106",1548.43376339178,-1.54579702553892,0.0580504853328692,-26.6284944333387,3.17636687934773e-156,3.16306047755587e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125384",562.779146692896,-2.72049307005402,0.102236932877148,-26.6096898008772,5.24358146541616e-156,5.18657071391298e-154,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000125845",1172.2386809597,5.52533661138904,0.207771211150542,26.5933696049239,8.09914671382555e-156,7.95768161789073e-154,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000134333",9887.50008844397,-1.01647209043677,0.0383140635560931,-26.5299995900622,4.37001752851094e-155,4.26525286988042e-153,"LDHA","3939","lactate dehydrogenase A"
"ENSG00000157227",22662.7967620428,1.09975936182814,0.0415181804493348,26.4886213684194,1.31081166249988e-154,1.27096988696863e-152,"MMP14","4323","matrix metallopeptidase 14"
"ENSG00000167900",535.537322697115,-2.99316984531097,0.113333402870154,-26.4103059601965,1.04332687757478e-153,1.00500336743118e-151,"TK1","7083","thymidine kinase 1"
"ENSG00000091409",2615.20252718009,-1.3448815711299,0.050951658123673,-26.3952464091653,1.5536348286433e-153,1.48684870808733e-151,"ITGA6","3655","integrin subunit alpha 6"
"ENSG00000091844",494.500786591075,2.80821461979186,0.106412973431441,26.3897768217249,1.79527827126583e-153,1.70702007496231e-151,"RGS17","26575","regulator of G protein signaling 17"
"ENSG00000169439",2385.18491369971,1.32446365486612,0.0502228270275114,26.3717463403761,2.89070201975225e-153,2.73097220301979e-151,"SDC2","6383","syndecan 2"
"ENSG00000100647",1393.45153066727,1.71995059227826,0.065235370480971,26.3653073416662,3.42646730954742e-153,3.2165143444656e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000139318",1424.14713666972,1.67884326172024,0.0638947453537294,26.2751381576991,3.69002687399448e-152,3.44200101702093e-150,"DUSP6","1848","dual specificity phosphatase 6"
"ENSG00000071127",10996.1867655617,-1.00330193008526,0.0382024978411019,-26.2627311506791,5.11421309906997e-152,4.74045739962851e-150,"WDR1","9948","WD repeat domain 1"
"ENSG00000042062",529.580434708431,3.50771136339452,0.134086229283588,26.1601163828376,7.56113412255274e-151,6.96474966863639e-149,"RIPOR3","140876","RIPOR family member 3"
